ACCIDENT_DATE,SEVERITY,Accident Count
2013-10-06,Fatal accident,1
2013-10-06,Other injury accident,13
2013-10-06,Serious injury accident,7
2013-10-07,Other injury accident,17
2013-10-07,Serious injury accident,6
2013-10-08,Other injury accident,38
2013-10-08,Serious injury accident,15
2013-10-09,Other injury accident,33
2013-10-09,Serious injury accident,11
2013-10-10,Other injury accident,35
2013-10-10,Serious injury accident,17
2013-10-11,Other injury accident,29
2013-10-11,Serious injury accident,15
2013-10-12,Fatal accident,1
2013-10-12,Other injury accident,26
2013-10-12,Serious injury accident,26
2013-10-13,Fatal accident,1
2013-10-13,Other injury accident,21
2013-10-13,Serious injury accident,14
2013-10-14,Other injury accident,27
2013-10-14,Serious injury accident,11
2013-10-15,Other injury accident,21
2013-10-15,Serious injury accident,11
2013-10-16,Fatal accident,1
2013-10-16,Other injury accident,38
2013-10-16,Serious injury accident,10
2013-10-17,Fatal accident,1
2013-10-17,Other injury accident,27
2013-10-17,Serious injury accident,10
2013-10-18,Other injury accident,28
2013-10-18,Serious injury accident,10
2013-10-19,Other injury accident,36
2013-10-19,Serious injury accident,14
2013-10-20,Fatal accident,1
2013-10-20,Other injury accident,28
2013-10-20,Serious injury accident,15
2013-10-21,Other injury accident,20
2013-10-21,Serious injury accident,8
2013-10-22,Other injury accident,31
2013-10-22,Serious injury accident,10
2013-10-23,Fatal accident,2
2013-10-23,Other injury accident,25
2013-10-23,Serious injury accident,8
2013-10-24,Other injury accident,28
2013-10-24,Serious injury accident,7
2013-10-25,Other injury accident,24
2013-10-25,Serious injury accident,12
2013-10-26,Other injury accident,18
2013-10-26,Serious injury accident,11
2013-10-27,Other injury accident,23
2013-10-27,Serious injury accident,6
2013-10-28,Fatal accident,1
2013-10-28,Other injury accident,27
2013-10-28,Serious injury accident,6
2013-10-29,Fatal accident,1
2013-10-29,Other injury accident,22
2013-10-29,Serious injury accident,17
2013-10-30,Fatal accident,1
2013-10-30,Other injury accident,22
2013-10-30,Serious injury accident,7
2013-10-31,Fatal accident,1
2013-10-31,Other injury accident,29
2013-10-31,Serious injury accident,13
2013-11-01,Other injury accident,27
2013-11-01,Serious injury accident,12
2013-11-02,Fatal accident,1
2013-11-02,Other injury accident,30
2013-11-02,Serious injury accident,16
2013-11-03,Fatal accident,1
2013-11-03,Other injury accident,21
2013-11-03,Serious injury accident,20
2013-11-04,Fatal accident,2
2013-11-04,Other injury accident,20
2013-11-04,Serious injury accident,5
2013-11-05,Fatal accident,1
2013-11-05,Other injury accident,26
2013-11-05,Serious injury accident,16
2013-11-06,Fatal accident,1
2013-11-06,Other injury accident,33
2013-11-06,Serious injury accident,13
2013-11-07,Other injury accident,21
2013-11-07,Serious injury accident,13
2013-11-08,Fatal accident,1
2013-11-08,Other injury accident,37
2013-11-08,Serious injury accident,14
2013-11-09,Fatal accident,1
2013-11-09,Other injury accident,24
2013-11-09,Serious injury accident,15
2013-11-10,Fatal accident,1
2013-11-10,Other injury accident,16
2013-11-10,Serious injury accident,12
2013-11-11,Fatal accident,1
2013-11-11,Other injury accident,23
2013-11-11,Serious injury accident,14
2013-11-12,Other injury accident,35
2013-11-12,Serious injury accident,10
2013-11-13,Other injury accident,28
2013-11-13,Serious injury accident,12
2013-11-14,Other injury accident,32
2013-11-14,Serious injury accident,11
2013-11-15,Fatal accident,1
2013-11-15,Other injury accident,21
2013-11-15,Serious injury accident,12
2013-11-16,Other injury accident,24
2013-11-16,Serious injury accident,11
2013-11-17,Fatal accident,1
2013-11-17,Other injury accident,27
2013-11-17,Serious injury accident,15
2013-11-18,Other injury accident,28
2013-11-18,Serious injury accident,16
2013-11-19,Fatal accident,1
2013-11-19,Other injury accident,25
2013-11-19,Serious injury accident,10
2013-11-20,Other injury accident,20
2013-11-20,Serious injury accident,9
2013-11-21,Other injury accident,32
2013-11-21,Serious injury accident,2
2013-11-22,Fatal accident,4
2013-11-22,Other injury accident,21
2013-11-22,Serious injury accident,14
2013-11-23,Other injury accident,33
2013-11-23,Serious injury accident,10
2013-11-24,Other injury accident,14
2013-11-24,Serious injury accident,17
2013-11-25,Fatal accident,1
2013-11-25,Other injury accident,19
2013-11-25,Serious injury accident,12
2013-11-26,Fatal accident,2
2013-11-26,Other injury accident,31
2013-11-26,Serious injury accident,9
2013-11-27,Other injury accident,31
2013-11-27,Serious injury accident,13
2013-11-28,Other injury accident,34
2013-11-28,Serious injury accident,15
2013-11-29,Fatal accident,1
2013-11-29,Other injury accident,20
2013-11-29,Serious injury accident,16
2013-11-30,Other injury accident,28
2013-11-30,Serious injury accident,14
2013-12-01,Other injury accident,20
2013-12-01,Serious injury accident,16
2013-12-02,Other injury accident,26
2013-12-02,Serious injury accident,15
2013-12-03,Fatal accident,2
2013-12-03,Other injury accident,24
2013-12-03,Serious injury accident,21
2013-12-04,Fatal accident,3
2013-12-04,Other injury accident,45
2013-12-04,Serious injury accident,9
2013-12-05,Other injury accident,40
2013-12-05,Serious injury accident,10
2013-12-06,Other injury accident,25
2013-12-06,Serious injury accident,15
2013-12-07,Other injury accident,23
2013-12-07,Serious injury accident,17
2013-12-08,Fatal accident,1
2013-12-08,Other injury accident,25
2013-12-08,Serious injury accident,13
2013-12-09,Other injury accident,35
2013-12-09,Serious injury accident,16
2013-12-10,Fatal accident,1
2013-12-10,Other injury accident,21
2013-12-10,Serious injury accident,16
2013-12-11,Fatal accident,2
2013-12-11,Other injury accident,23
2013-12-11,Serious injury accident,11
2013-12-12,Fatal accident,3
2013-12-12,Other injury accident,20
2013-12-12,Serious injury accident,10
2013-12-13,Fatal accident,1
2013-12-13,Other injury accident,25
2013-12-13,Serious injury accident,22
2013-12-14,Fatal accident,1
2013-12-14,Other injury accident,25
2013-12-14,Serious injury accident,20
2013-12-15,Other injury accident,23
2013-12-15,Serious injury accident,18
2013-12-16,Fatal accident,2
2013-12-16,Other injury accident,24
2013-12-16,Serious injury accident,9
2013-12-17,Other injury accident,25
2013-12-17,Serious injury accident,11
2013-12-18,Fatal accident,1
2013-12-18,Other injury accident,25
2013-12-18,Serious injury accident,8
2013-12-19,Fatal accident,2
2013-12-19,Other injury accident,37
2013-12-19,Serious injury accident,10
2013-12-20,Fatal accident,1
2013-12-20,Other injury accident,29
2013-12-20,Serious injury accident,16
2013-12-21,Fatal accident,1
2013-12-21,Other injury accident,18
2013-12-21,Serious injury accident,18
2013-12-22,Fatal accident,1
2013-12-22,Other injury accident,20
2013-12-22,Serious injury accident,8
2013-12-23,Fatal accident,1
2013-12-23,Other injury accident,21
2013-12-23,Serious injury accident,9
2013-12-24,Other injury accident,28
2013-12-24,Serious injury accident,11
2013-12-25,Fatal accident,1
2013-12-25,Other injury accident,16
2013-12-25,Serious injury accident,9
2013-12-26,Other injury accident,15
2013-12-26,Serious injury accident,15
2013-12-27,Other injury accident,9
2013-12-27,Serious injury accident,9
2013-12-28,Other injury accident,19
2013-12-28,Serious injury accident,9
2013-12-29,Fatal accident,1
2013-12-29,Other injury accident,20
2013-12-29,Serious injury accident,8
2013-12-30,Other injury accident,24
2013-12-30,Serious injury accident,11
2013-12-31,Other injury accident,18
2013-12-31,Serious injury accident,4
2014-01-01,Other injury accident,25
2014-01-01,Serious injury accident,7
2014-01-02,Other injury accident,27
2014-01-02,Serious injury accident,8
2014-01-03,Other injury accident,15
2014-01-03,Serious injury accident,7
2014-01-04,Other injury accident,22
2014-01-04,Serious injury accident,13
2014-01-05,Other injury accident,16
2014-01-05,Serious injury accident,9
2014-01-06,Other injury accident,14
2014-01-06,Serious injury accident,6
2014-01-07,Other injury accident,18
2014-01-07,Serious injury accident,10
2014-01-08,Fatal accident,2
2014-01-08,Other injury accident,20
2014-01-08,Serious injury accident,7
2014-01-09,Other injury accident,26
2014-01-09,Serious injury accident,7
2014-01-10,Other injury accident,22
2014-01-10,Serious injury accident,13
2014-01-11,Other injury accident,23
2014-01-11,Serious injury accident,18
2014-01-12,Fatal accident,1
2014-01-12,Other injury accident,17
2014-01-12,Serious injury accident,17
2014-01-13,Fatal accident,1
2014-01-13,Other injury accident,18
2014-01-13,Serious injury accident,13
2014-01-14,Fatal accident,1
2014-01-14,Other injury accident,17
2014-01-14,Serious injury accident,15
2014-01-15,Other injury accident,21
2014-01-15,Serious injury accident,8
2014-01-16,Fatal accident,1
2014-01-16,Other injury accident,24
2014-01-16,Serious injury accident,12
2014-01-17,Fatal accident,1
2014-01-17,Other injury accident,28
2014-01-17,Serious injury accident,16
2014-01-18,Fatal accident,1
2014-01-18,Other injury accident,21
2014-01-18,Serious injury accident,6
2014-01-19,Fatal accident,1
2014-01-19,Other injury accident,20
2014-01-19,Serious injury accident,16
2014-01-20,Other injury accident,23
2014-01-20,Serious injury accident,7
2014-01-21,Fatal accident,1
2014-01-21,Other injury accident,14
2014-01-21,Serious injury accident,13
2014-01-22,Fatal accident,1
2014-01-22,Other injury accident,24
2014-01-22,Serious injury accident,14
2014-01-23,Fatal accident,1
2014-01-23,Other injury accident,28
2014-01-23,Serious injury accident,18
2014-01-24,Fatal accident,1
2014-01-24,Other injury accident,42
2014-01-24,Serious injury accident,10
2014-01-25,Fatal accident,3
2014-01-25,Other injury accident,24
2014-01-25,Serious injury accident,11
2014-01-26,Fatal accident,2
2014-01-26,Other injury accident,29
2014-01-26,Serious injury accident,16
2014-01-27,Other injury accident,20
2014-01-27,Serious injury accident,15
2014-01-28,Other injury accident,28
2014-01-28,Serious injury accident,8
2014-01-29,Other injury accident,32
2014-01-29,Serious injury accident,12
2014-01-30,Other injury accident,36
2014-01-30,Serious injury accident,11
2014-01-31,Fatal accident,3
2014-01-31,Other injury accident,22
2014-01-31,Serious injury accident,11
2014-02-01,Fatal accident,2
2014-02-01,Other injury accident,30
2014-02-01,Serious injury accident,16
2014-02-02,Other injury accident,17
2014-02-02,Serious injury accident,14
2014-02-03,Other injury accident,26
2014-02-03,Serious injury accident,13
2014-02-04,Fatal accident,2
2014-02-04,Other injury accident,24
2014-02-04,Serious injury accident,14
2014-02-05,Fatal accident,1
2014-02-05,Other injury accident,41
2014-02-05,Serious injury accident,13
2014-02-06,Other injury accident,28
2014-02-06,Serious injury accident,11
2014-02-07,Other injury accident,31
2014-02-07,Serious injury accident,12
2014-02-08,Other injury accident,26
2014-02-08,Serious injury accident,13
2014-02-09,Fatal accident,1
2014-02-09,Other injury accident,18
2014-02-09,Serious injury accident,12
2014-02-10,Fatal accident,2
2014-02-10,Other injury accident,32
2014-02-10,Serious injury accident,16
2014-02-11,Other injury accident,30
2014-02-11,Serious injury accident,13
2014-02-12,Fatal accident,1
2014-02-12,Other injury accident,27
2014-02-12,Serious injury accident,15
2014-02-13,Fatal accident,1
2014-02-13,Other injury accident,21
2014-02-13,Serious injury accident,4
2014-02-14,Fatal accident,1
2014-02-14,Other injury accident,37
2014-02-14,Serious injury accident,12
2014-02-15,Fatal accident,2
2014-02-15,Other injury accident,21
2014-02-15,Serious injury accident,21
2014-02-16,Other injury accident,14
2014-02-16,Serious injury accident,17
2014-02-17,Fatal accident,1
2014-02-17,Other injury accident,30
2014-02-17,Serious injury accident,9
2014-02-18,Other injury accident,30
2014-02-18,Serious injury accident,16
2014-02-19,Other injury accident,37
2014-02-19,Serious injury accident,16
2014-02-20,Other injury accident,33
2014-02-20,Serious injury accident,18
2014-02-21,Other injury accident,27
2014-02-21,Serious injury accident,10
2014-02-22,Fatal accident,1
2014-02-22,Other injury accident,22
2014-02-22,Serious injury accident,16
2014-02-23,Other injury accident,28
2014-02-23,Serious injury accident,15
2014-02-24,Other injury accident,13
2014-02-24,Serious injury accident,14
2014-02-25,Fatal accident,1
2014-02-25,Other injury accident,26
2014-02-25,Serious injury accident,4
2014-02-26,Other injury accident,29
2014-02-26,Serious injury accident,13
2014-02-27,Other injury accident,29
2014-02-27,Serious injury accident,9
2014-02-28,Fatal accident,1
2014-02-28,Other injury accident,23
2014-02-28,Serious injury accident,17
2014-03-01,Fatal accident,1
2014-03-01,Other injury accident,29
2014-03-01,Serious injury accident,23
2014-03-02,Other injury accident,27
2014-03-02,Serious injury accident,15
2014-03-03,Other injury accident,36
2014-03-03,Serious injury accident,10
2014-03-04,Other injury accident,24
2014-03-04,Serious injury accident,9
2014-03-05,Other injury accident,17
2014-03-05,Serious injury accident,12
2014-03-06,Fatal accident,1
2014-03-06,Other injury accident,36
2014-03-06,Serious injury accident,7
2014-03-07,Other injury accident,45
2014-03-07,Serious injury accident,9
2014-03-08,Fatal accident,2
2014-03-08,Other injury accident,30
2014-03-08,Serious injury accident,25
2014-03-09,Fatal accident,2
2014-03-09,Other injury accident,23
2014-03-09,Serious injury accident,10
2014-03-10,Fatal accident,1
2014-03-10,Other injury accident,12
2014-03-10,Serious injury accident,12
2014-03-11,Other injury accident,25
2014-03-11,Serious injury accident,12
2014-03-12,Fatal accident,1
2014-03-12,Other injury accident,22
2014-03-12,Serious injury accident,12
2014-03-13,Other injury accident,35
2014-03-13,Serious injury accident,13
2014-03-14,Fatal accident,1
2014-03-14,Other injury accident,32
2014-03-14,Serious injury accident,15
2014-03-15,Other injury accident,25
2014-03-15,Serious injury accident,16
2014-03-16,Other injury accident,24
2014-03-16,Serious injury accident,11
2014-03-17,Other injury accident,30
2014-03-17,Serious injury accident,9
2014-03-18,Fatal accident,1
2014-03-18,Other injury accident,27
2014-03-18,Serious injury accident,12
2014-03-19,Fatal accident,1
2014-03-19,Other injury accident,30
2014-03-19,Serious injury accident,14
2014-03-20,Other injury accident,31
2014-03-20,Serious injury accident,15
2014-03-21,Other injury accident,40
2014-03-21,Serious injury accident,13
2014-03-22,Fatal accident,1
2014-03-22,Other injury accident,29
2014-03-22,Serious injury accident,12
2014-03-23,Other injury accident,23
2014-03-23,Serious injury accident,8
2014-03-24,Other injury accident,29
2014-03-24,Serious injury accident,10
2014-03-25,Other injury accident,28
2014-03-25,Serious injury accident,12
2014-03-26,Fatal accident,3
2014-03-26,Other injury accident,34
2014-03-26,Serious injury accident,23
2014-03-27,Other injury accident,39
2014-03-27,Serious injury accident,16
2014-03-28,Fatal accident,2
2014-03-28,Other injury accident,29
2014-03-28,Serious injury accident,15
2014-03-29,Fatal accident,1
2014-03-29,Other injury accident,29
2014-03-29,Serious injury accident,20
2014-03-30,Fatal accident,1
2014-03-30,Other injury accident,25
2014-03-30,Serious injury accident,18
2014-03-31,Fatal accident,2
2014-03-31,Other injury accident,27
2014-03-31,Serious injury accident,14
2014-04-01,Other injury accident,27
2014-04-01,Serious injury accident,9
2014-04-02,Fatal accident,2
2014-04-02,Other injury accident,30
2014-04-02,Serious injury accident,16
2014-04-03,Other injury accident,27
2014-04-03,Serious injury accident,9
2014-04-04,Fatal accident,1
2014-04-04,Other injury accident,27
2014-04-04,Serious injury accident,9
2014-04-05,Other injury accident,28
2014-04-05,Serious injury accident,16
2014-04-06,Fatal accident,1
2014-04-06,Other injury accident,18
2014-04-06,Serious injury accident,16
2014-04-07,Fatal accident,1
2014-04-07,Other injury accident,27
2014-04-07,Serious injury accident,12
2014-04-08,Fatal accident,2
2014-04-08,Other injury accident,38
2014-04-08,Serious injury accident,15
2014-04-09,Other injury accident,40
2014-04-09,Serious injury accident,24
2014-04-10,Other injury accident,35
2014-04-10,Serious injury accident,11
2014-04-11,Fatal accident,1
2014-04-11,Other injury accident,25
2014-04-11,Serious injury accident,10
2014-04-12,Fatal accident,1
2014-04-12,Other injury accident,22
2014-04-12,Serious injury accident,15
2014-04-13,Fatal accident,1
2014-04-13,Other injury accident,20
2014-04-13,Serious injury accident,14
2014-04-14,Other injury accident,31
2014-04-14,Serious injury accident,9
2014-04-15,Fatal accident,1
2014-04-15,Other injury accident,15
2014-04-15,Serious injury accident,10
2014-04-16,Other injury accident,22
2014-04-16,Serious injury accident,11
2014-04-17,Other injury accident,27
2014-04-17,Serious injury accident,16
2014-04-18,Other injury accident,15
2014-04-18,Serious injury accident,10
2014-04-19,Other injury accident,26
2014-04-19,Serious injury accident,13
2014-04-20,Fatal accident,1
2014-04-20,Other injury accident,16
2014-04-20,Serious injury accident,11
2014-04-21,Other injury accident,21
2014-04-21,Serious injury accident,9
2014-04-22,Other injury accident,29
2014-04-22,Serious injury accident,8
2014-04-23,Other injury accident,27
2014-04-23,Serious injury accident,12
2014-04-24,Fatal accident,1
2014-04-24,Other injury accident,31
2014-04-24,Serious injury accident,10
2014-04-25,Other injury accident,21
2014-04-25,Serious injury accident,16
2014-04-26,Fatal accident,1
2014-04-26,Other injury accident,19
2014-04-26,Serious injury accident,11
2014-04-27,Other injury accident,20
2014-04-27,Serious injury accident,10
2014-04-28,Other injury accident,22
2014-04-28,Serious injury accident,12
2014-04-29,Other injury accident,40
2014-04-29,Serious injury accident,11
2014-04-30,Other injury accident,47
2014-04-30,Serious injury accident,14
2014-05-01,Fatal accident,1
2014-05-01,Other injury accident,28
2014-05-01,Serious injury accident,13
2014-05-02,Fatal accident,2
2014-05-02,Other injury accident,42
2014-05-02,Serious injury accident,13
2014-05-03,Other injury accident,24
2014-05-03,Serious injury accident,7
2014-05-04,Other injury accident,21
2014-05-04,Serious injury accident,17
2014-05-05,Other injury accident,30
2014-05-05,Serious injury accident,8
2014-05-06,Other injury accident,40
2014-05-06,Serious injury accident,12
2014-05-07,Fatal accident,1
2014-05-07,Other injury accident,30
2014-05-07,Serious injury accident,9
2014-05-08,Fatal accident,2
2014-05-08,Other injury accident,36
2014-05-08,Serious injury accident,13
2014-05-09,Other injury accident,25
2014-05-09,Serious injury accident,10
2014-05-10,Fatal accident,1
2014-05-10,Other injury accident,28
2014-05-10,Serious injury accident,8
2014-05-11,Other injury accident,20
2014-05-11,Serious injury accident,13
2014-05-12,Other injury accident,30
2014-05-12,Serious injury accident,10
2014-05-13,Other injury accident,48
2014-05-13,Serious injury accident,13
2014-05-14,Fatal accident,1
2014-05-14,Other injury accident,30
2014-05-14,Serious injury accident,16
2014-05-15,Other injury accident,32
2014-05-15,Serious injury accident,12
2014-05-16,Other injury accident,25
2014-05-16,Serious injury accident,14
2014-05-17,Other injury accident,13
2014-05-17,Serious injury accident,13
2014-05-18,Fatal accident,1
2014-05-18,Other injury accident,24
2014-05-18,Serious injury accident,19
2014-05-19,Fatal accident,1
2014-05-19,Other injury accident,32
2014-05-19,Serious injury accident,13
2014-05-20,Fatal accident,1
2014-05-20,Other injury accident,32
2014-05-20,Serious injury accident,19
2014-05-21,Fatal accident,1
2014-05-21,Other injury accident,35
2014-05-21,Serious injury accident,9
2014-05-22,Fatal accident,1
2014-05-22,Other injury accident,31
2014-05-22,Serious injury accident,13
2014-05-23,Other injury accident,28
2014-05-23,Serious injury accident,14
2014-05-24,Other injury accident,29
2014-05-24,Serious injury accident,8
2014-05-25,Fatal accident,1
2014-05-25,Other injury accident,22
2014-05-25,Serious injury accident,13
2014-05-26,Fatal accident,3
2014-05-26,Other injury accident,23
2014-05-26,Serious injury accident,14
2014-05-27,Fatal accident,1
2014-05-27,Other injury accident,27
2014-05-27,Serious injury accident,9
2014-05-28,Other injury accident,23
2014-05-28,Serious injury accident,12
2014-05-29,Fatal accident,2
2014-05-29,Other injury accident,24
2014-05-29,Serious injury accident,6
2014-05-30,Fatal accident,1
2014-05-30,Other injury accident,33
2014-05-30,Serious injury accident,12
2014-05-31,Fatal accident,1
2014-05-31,Other injury accident,26
2014-05-31,Serious injury accident,10
2014-06-01,Fatal accident,1
2014-06-01,Other injury accident,27
2014-06-01,Serious injury accident,10
2014-06-02,Other injury accident,25
2014-06-02,Serious injury accident,11
2014-06-03,Other injury accident,23
2014-06-03,Serious injury accident,10
2014-06-04,Fatal accident,1
2014-06-04,Other injury accident,33
2014-06-04,Serious injury accident,11
2014-06-05,Other injury accident,31
2014-06-05,Serious injury accident,14
2014-06-06,Other injury accident,34
2014-06-06,Serious injury accident,13
2014-06-07,Fatal accident,1
2014-06-07,Other injury accident,25
2014-06-07,Serious injury accident,11
2014-06-08,Other injury accident,17
2014-06-08,Serious injury accident,13
